"FormKey","EditorID","Action"
"015BE1:Skyrim.esm","LItemBanditHeavyBoots","flatten-in-place"
"015BE3:Skyrim.esm","LItemBanditHeavyCuirass","flatten-in-place"
"015BE2:Skyrim.esm","LItemBanditHeavyGauntlets50","flatten-in-place"
"015BE0:Skyrim.esm","LItemBanditHeavyHelmet","flatten-in-place"
"037C26:Skyrim.esm","LItemBanditHelmet50","flatten-in-place"
"037C18:Skyrim.esm","LItemBanditMace","flatten-in-place"
"039D2D:Skyrim.esm","LItemBanditShield","flatten-in-place"
"0C0196:Skyrim.esm","LItemBanditShield20","flatten-in-place"
"037C1C:Skyrim.esm","LItemBanditShield50","flatten-in-place"
"037C19:Skyrim.esm","LItemBanditSword","flatten-in-place"
"037C1A:Skyrim.esm","LItemBanditWarAxe","flatten-in-place"
"039D2F:Skyrim.esm","LItemBanditWeaponArrows","flatten-in-place"
"039D2E:Skyrim.esm","LItemBanditWeaponBow","flatten-in-place"
"064A60:Skyrim.esm","LItemDA13ArmorBootsHeavy","flatten-in-place"
"064A5F:Skyrim.esm","LItemDA13ArmorBootsLight","flatten-in-place"
"064A63:Skyrim.esm","LItemDA13ArmorGauntletsHeavy","flatten-in-place"
"064A64:Skyrim.esm","LItemDA13ArmorGauntletsLight","flatten-in-place"
"064A65:Skyrim.esm","LItemDA13ArmorHelmetHeavy","flatten-in-place"
"064A66:Skyrim.esm","LItemDA13ArmorHelmetLight20","flatten-in-place"
"064A67:Skyrim.esm","LItemDA13ArmorShieldHeavy","flatten-in-place"
"064A68:Skyrim.esm","LItemDA13ArmorShieldLight20","flatten-in-place"
"0DDD62:Skyrim.esm","LItemDraugr02BossWeapon1HMagic","flatten-in-place"
"0DDD63:Skyrim.esm","LItemDraugr02BossWeapon2HMagic","flatten-in-place"
"0242FC:Skyrim.esm","LItemDraugr02Weapon1H","flatten-in-place"
"024300:Skyrim.esm","LItemDraugr02Weapon2H","flatten-in-place"
"05BF1E:Skyrim.esm","LItemDraugr02Weapon2HMagic","flatten-in-place"
"0DDD71:Skyrim.esm","LItemDraugr04BossWeapon2HMagic","flatten-in-place"
"018EC9:Skyrim.esm","LItemDraugrSword","flatten-in-place"
"1046DB:Skyrim.esm","LItemEnchNecklaceAll25","flatten-in-place"
"105251:Skyrim.esm","LItemEnchNecromancerRobes","flatten-in-place"
"1046D6:Skyrim.esm","LItemEnchRingAll25","flatten-in-place"
"017000:Skyrim.esm","LItemEnchWeapon1HDremoraFire","flatten-in-place"
"017007:Skyrim.esm","LItemEnchWeaponBowDremoraFire","flatten-in-place"
"10782F:Skyrim.esm","LItemEnchWeaponSwordShock","flatten-in-place"
"051951:Skyrim.esm","LItemFalmerWeapon","flatten-in-place"
"10D9D2:Skyrim.esm","LItemHunterWeaponBow","flatten-in-place"
"0D16E7:Skyrim.esm","LItemMS09Boots","flatten-in-place"
"0D16E8:Skyrim.esm","LItemMS09Cuirass","flatten-in-place"
"0D16E9:Skyrim.esm","LItemMS09HeavyBoots","flatten-in-place"
"0D16EA:Skyrim.esm","LItemMS09HeavyCuirass","flatten-in-place"
"0D16EB:Skyrim.esm","LItemMS09HeavyHelmet","flatten-in-place"
"0D16EC:Skyrim.esm","LItemMS09Shield","flatten-in-place"
"0763EF:Skyrim.esm","LItemOrcStrongholdArrows","flatten-in-place"
"08CA3F:Skyrim.esm","LItemOrcStrongholdBattleaxe","flatten-in-place"
"08CA44:Skyrim.esm","LItemOrcStrongholdBoots","flatten-in-place"
"08CA3E:Skyrim.esm","LItemOrcStrongholdBow","flatten-in-place"
"08CA45:Skyrim.esm","LItemOrcStrongholdCuirass","flatten-in-place"
"08CA41:Skyrim.esm","LItemOrcStrongholdDagger","flatten-in-place"
"08CA46:Skyrim.esm","LItemOrcStrongholdGauntlets","flatten-in-place"
"08CA47:Skyrim.esm","LItemOrcStrongholdHelmet","flatten-in-place"
"08CA3C:Skyrim.esm","LItemOrcStrongholdMace","flatten-in-place"
"08CA48:Skyrim.esm","LItemOrcStrongholdShield","flatten-in-place"
"08CA3D:Skyrim.esm","LItemOrcStrongholdSword","flatten-in-place"
"08CA42:Skyrim.esm","LItemOrcStrongholdWaraxe","flatten-in-place"
"08CA43:Skyrim.esm","LItemOrcStrongholdWarhammer","flatten-in-place"
"074A2C:Skyrim.esm","LItemPoisonDamageHealthLingering","flatten-in-place"
"074A20:Skyrim.esm","LItemPoisonDamageStaminaLingering","flatten-in-place"
"07D97A:Skyrim.esm","LItemThalmorArmorNoHelmetAll","flatten-in-place"
"07D979:Skyrim.esm","LItemThalmorArmorWithHelmetBest","flatten-in-place"
"07D986:Skyrim.esm","LItemThalmorDagger","flatten-in-place"
"0F95F0:Skyrim.esm","LItemThalmorShield","flatten-in-place"
"07D97D:Skyrim.esm","LItemThalmorWeapon1H","flatten-in-place"
"07D985:Skyrim.esm","LItemThalmorWeaponBow","flatten-in-place"
"02E1EE:Skyrim.esm","LItemVampireDagger","flatten-in-place"
"10BFF2:Skyrim.esm","LItemVigilantHeavyBoots","flatten-in-place"
"10BFF3:Skyrim.esm","LItemVigilantHeavyGauntlets50","flatten-in-place"
"044CD6:Skyrim.esm","LItemWarlockDagger","flatten-in-place"
"105EF9:Skyrim.esm","LITemWarlockRobes","flatten-in-place"
"05719B:Skyrim.esm","LItemWeaponBattleAxeBest","flatten-in-place"
"01703D:Skyrim.esm","LItemWeaponBowTown","flatten-in-place"
"08CA38:Skyrim.esm","LItemWeaponDaggerBoss","flatten-in-place"
"10FABF:Skyrim.esm","LItemWeaponDaggerForsworn","flatten-in-place"
"017177:Skyrim.esm","LItemWeaponDaggerTown","flatten-in-place"
"0571A7:Skyrim.esm","LItemWeaponMaceBest","flatten-in-place"
"09786F:Skyrim.esm","LItemWeaponSailor","flatten-in-place"
"0571AA:Skyrim.esm","LItemWeaponSwordBest","flatten-in-place"
"1034EC:Skyrim.esm","LItemWEBattlemageBoots","flatten-in-place"
"1034EB:Skyrim.esm","LItemWEBattlemageCuirass","flatten-in-place"
"1034ED:Skyrim.esm","LItemWEBattlemageGauntlets50","flatten-in-place"
"1034EE:Skyrim.esm","LItemWEBattlemageHelmet50","flatten-in-place"
"1034F8:Skyrim.esm","LItemWESpellswordBoots","flatten-in-place"
"1034F7:Skyrim.esm","LItemWESpellswordCuirass","flatten-in-place"
"1034F9:Skyrim.esm","LItemWESpellswordGauntlets50","flatten-in-place"
"1034FA:Skyrim.esm","LItemWESpellswordHelmet50","flatten-in-place"
"10350D:Skyrim.esm","LItemWEThiefBoots","flatten-in-place"
"10350C:Skyrim.esm","LItemWEThiefCuirass","flatten-in-place"
"10350F:Skyrim.esm","LItemWEThiefGauntlets50","flatten-in-place"
"104ABC:Skyrim.esm","LootStaffsAll25","flatten-in-place"
"10FAD1:Skyrim.esm","LootStaffsWeaponWarlock","flatten-in-place"
"0C0404:Skyrim.esm","LvlQuestReward01Small","flatten-in-place"
"0C0405:Skyrim.esm","LvlQuestReward02Medium","flatten-in-place"
"05BF17:Skyrim.esm","MQ304TsunBattleAxe","flatten-in-place"
"01FF16:Dragonborn.esm","DLC2LItemEnchWeaponDaggerBest","fork"
"02BC08:Dragonborn.esm","DLC2LItemEnchWeaponWarAxe","fork"
"01AAE3:Dragonborn.esm","DLC2LItemPotionRestoreAll","fork"
"01FF0F:Dragonborn.esm","DLC2LItemWeaponMaceDremora","fork"
"01673A:Skyrim.esm","LItemArmorBootsHeavy","fork"
"01673B:Skyrim.esm","LItemArmorBootsLight","fork"
"01674A:Skyrim.esm","LitemArmorBootsLightTown","fork"
"0166F8:Skyrim.esm","LItemArmorCuirassHeavy","fork"
"016705:Skyrim.esm","LItemArmorCuirassLight","fork"
"016748:Skyrim.esm","LItemArmorCuirassLightTown","fork"
"01673D:Skyrim.esm","LItemArmorGauntletsHeavy","fork"
"01673E:Skyrim.esm","LItemArmorGauntletsLight","fork"
"01674C:Skyrim.esm","LItemArmorGauntletsLightTown","fork"
"016741:Skyrim.esm","LItemArmorHelmetLight","fork"
"0165C2:Skyrim.esm","LItemArmorShieldHeavy","fork"
"0165C3:Skyrim.esm","LitemArmorShieldHeavyTown","fork"
"068839:Skyrim.esm","LItemArrowsAll","fork"
"10FAF5:Skyrim.esm","LItemArrowsAllBest","fork"
"09BC32:Skyrim.esm","LItemBlacksmithMineralsRaw75","fork"
"0B5091:Skyrim.esm","LItemEnchArmorHeavyGauntlets","fork"
"107346:Skyrim.esm","LItemEnchCircletDestruction","fork"
"0C3DE0:Skyrim.esm","LItemEnchImperialSword","fork"
"10DF61:Skyrim.esm","LItemEnchNecklaceHealRate","fork"
"100E8A:Skyrim.esm","LItemEnchRingAll","fork"
"100E6B:Skyrim.esm","LItemEnchRingDestruction","fork"
"100E7A:Skyrim.esm","LItemEnchRingOneHanded","fork"
"100E82:Skyrim.esm","LItemEnchRingStaminaRate","fork"
"08992F:Skyrim.esm","LItemEnchWeaponDagger","fork"
"04B586:Skyrim.esm","LItemEnchWeaponSword","fork"
"089931:Skyrim.esm","LItemEnchWeaponWarhammer","fork"
"068525:Skyrim.esm","LItemGems","fork"
"0876A4:Skyrim.esm","LItemJewelryNecklace","fork"
"08757E:Skyrim.esm","LItemJewelryRing","fork"
"087138:Skyrim.esm","LItemLootIMineralsProcessed","fork"
"10D9D1:Skyrim.esm","LItemMiscHunterAnimalParts75","fork"
"09AF09:Skyrim.esm","LItemMiscVendorArrows75","fork"
"09AF0D:Skyrim.esm","LItemMiscVendorMineralsProcessed25","fork"
"09AF0E:Skyrim.esm","LItemMiscVendorMineralsRaw50","fork"
"065A80:Skyrim.esm","LItemPoisonDamageHealth","fork"
"065A82:Skyrim.esm","LItemPoisonDamageStamina","fork"
"03A1B7:Skyrim.esm","LItemPotionCarry","fork"
"039ED1:Skyrim.esm","LItemPotionFortifyConjuration","fork"
"03A16A:Skyrim.esm","LItemPotionRestoreHealth","fork"
"065A45:Skyrim.esm","LItemPotionRestoreHealthBest","fork"
"03A171:Skyrim.esm","LItemPotionRestoreMagicka","fork"
"065A46:Skyrim.esm","LItemPotionRestoreMagickaBest","fork"
"03A173:Skyrim.esm","LItemPotionRestoreStamina","fork"
"01715A:Skyrim.esm","LItemSoldierSonsBattleaxe","fork"
"046051:Skyrim.esm","LItemSoldierSonsSword","fork"
"046052:Skyrim.esm","LItemSoldierSonsWaraxe","fork"
"0638B3:Skyrim.esm","LItemSoulGemEmptySpecial","fork"
"0638B4:Skyrim.esm","LItemSoulGemFullSpecial","fork"
"035320:Skyrim.esm","LItemStaffsAll","fork"
"01657C:Skyrim.esm","LItemWeaponBattleAxe","fork"
"0165BF:Skyrim.esm","LItemWeaponBattleAxeTown","fork"
"017024:Skyrim.esm","LItemWeaponBow","fork"
"05719E:Skyrim.esm","LItemWeaponBowBest","fork"
"017178:Skyrim.esm","LItemWeaponDagger","fork"
"0571A1:Skyrim.esm","LItemWeaponDaggerBest","fork"
"09BC40:Skyrim.esm","LItemWeaponDaggerBlacksmith","fork"
"016577:Skyrim.esm","LItemWeaponMace","fork"
"0165BB:Skyrim.esm","LItemWeaponMaceTown","fork"
"016578:Skyrim.esm","LItemWeaponSword","fork"
"0165BC:Skyrim.esm","LItemWeaponSwordTown","fork"
"016579:Skyrim.esm","LItemWeaponWarAxe","fork"
"0571AB:Skyrim.esm","LItemWeaponWarAxeBest","fork"
"0165BE:Skyrim.esm","LItemWeaponWarAxeTown","fork"
"0165B8:Skyrim.esm","LItemWeaponWarhammer","fork"
"037C27:Skyrim.esm","LootBanditGold","fork"
"03DED1:Skyrim.esm","LootBanditGoldBoss","fork"
"0714EE:Skyrim.esm","LootCWImperialsGold","fork"
"071526:Skyrim.esm","LootCWSonsGold","fork"
"088512:Skyrim.esm","LootDraugrGold","fork"
"088513:Skyrim.esm","LootDraugrGoldBoss01","fork"
"10FAD3:Skyrim.esm","LootWarlockSoulGemsNecroBonus","fork"
"0AF26C:Skyrim.esm","TGRewardGold","fork"
