"FormKey","EditorID","Gated","Class"
"01D294:Skyrim.esm","SublistEnchElvenDaggerFear","True","both"
"02BC29:Dragonborn.esm","DLC2LItemEnchArmorLightGauntletsSpecial","True","container-only"
"0CB3C0:Skyrim.esm","LItemEnchGlassWeaponMagicka","False","unreached"
"03DF1C:Skyrim.esm","LItemBanditBossWeapon1H","False","actor-only"
"10734E:Skyrim.esm","LItemEnchCircletAll75","False","unreached"
"0F84C7:Skyrim.esm","TGPotionofPlunder","True","container-only"
"08993F:Skyrim.esm","LItemEnchWeaponStamina","True","unreached"
"092A09:Skyrim.esm","SublistEnchArmorSteelPlateBoots02","False","both"
"02B9E8:Dragonborn.esm","DLC2SublistEnchStalhrimWarAxeSoulTrap","True","both"
"08992F:Skyrim.esm","LItemEnchWeaponDagger","True","both"
"05BEFE:Skyrim.esm","SublistEnchIronSwordStamina","True","both"
"0FD9FA:Skyrim.esm","SublistEnchArmorGlassShield03","False","both"
"01FF09:Dragonborn.esm","DLC2LItemArmorShieldHeavyBest","True","container-only"
"1072F7:Skyrim.esm","SublistEnchEbonyGreatswordAbsorbStamina","True","both"
"107321:Skyrim.esm","SublistEnchGlassGreatswordAbsorbStamina","True","both"
"02B9D0:Dragonborn.esm","DLC2SublistEnchStalhrimWarAxeAbsorbMagicka","True","both"
"0B50FF:Skyrim.esm","SublistEnchArmorSteelGauntlets02","False","both"
"07D975:Skyrim.esm","SublistThalmorElvenGildedArmorNoHelmet","False","actor-only"
"039ED9:Skyrim.esm","LItemPotionFortifyOneHanded","True","both"
"100E67:Skyrim.esm","LItemEnchRingAlchemy","False","both"
"02B0E1:Dragonborn.esm","DLC2SublistEnchStalhrimBattleaxeMagicka","True","container-only"
"071024:Skyrim.esm","LootVampireScrolls100","False","container-only"
"08991B:Skyrim.esm","SublistEnchIronGreatswordMagicka","True","both"
"107318:Skyrim.esm","SublistEnchElvenWarhammerAbsorbStamina","True","both"
"0B50FA:Skyrim.esm","SublistEnchArmorSteelBoots03","False","both"
"0F6F26:Skyrim.esm","SublistArmorSteelCuirassVariants","False","both"
"03B0CA:Skyrim.esm","dunSilentMoonsLItemEnchIronWarAxe","True","unreached"
"10730C:Skyrim.esm","SublistEnchElvenGreatswordAbsorbStamina","True","both"
"08B604:Skyrim.esm","SublistEnchDaedricGreatswordFrost","True","both"
"01A178:Dawnguard.esm","DLC1LItemKeeperShieldWeapon","True","actor-only"
"0FD9D2:Skyrim.esm","SublistEnchArmorDragonplateGauntlets04","False","both"
"071137:Skyrim.esm","LootHagravenEnchWeapons15","False","container-only"
"0ABF3C:Skyrim.esm","ArmorImperialStuddedSetNoHelmet","False","actor-only"
"0350A1:Skyrim.esm","LootWarlockChestPotions100","False","both"
"0714AB:Skyrim.esm","LootCWImperialsChestPotions100","False","container-only"
"0A2984:Skyrim.esm","LItemSpellTomes75AllDestruction","False","container-only"
"035064:Skyrim.esm","LootWarlockGold","True","container-only"
"1072CB:Skyrim.esm","SublistEnchDaedricGreatswordAbsorbHealth","True","both"
"016705:Skyrim.esm","LItemArmorCuirassLight","True","both"
"000F2B:Skyrim.esm","SublistEnchArmorBoots05Dragonplate05","False","both"
"0A6A2E:Skyrim.esm","SublistEnchSteelWarhammerShock","True","both"
"00E8E1:Dawnguard.esm","DLC1LItemFalmerHelmetHeavy100","True","actor-only"
"10734D:Skyrim.esm","LItemEnchCircletAll25","False","unreached"
"1072CE:Skyrim.esm","SublistEnchDaedricMaceAbsorbHealth","True","both"
"017150:Skyrim.esm","LItemSoldierSonsBootsBest","False","unreached"
"0CB3C6:Skyrim.esm","LItemEnchEbonyBattleaxe","False","both"
"01954E:Dragonborn.esm","DLC2ExpSpiderAlbinoDeathItemButt","False","unreached"
"0715EE:Skyrim.esm","LootCWImperialsScrolls100","True","unreached"
"043BD4:Skyrim.esm","LItemForswornBoots","False","actor-only"
"0F628A:Skyrim.esm","LItemBlacksmithMinGauntletsHeavy","True","container-only"
"065A83:Skyrim.esm","LItemPoisonFear","True","both"
"028573:Dragonborn.esm","DLC2LitemSpellTomes50Destruction","False","unreached"
"02BA70:Dragonborn.esm","DLC2SublistEnchArmorChitinLightGauntlets02","False","container-only"
"1046DF:Skyrim.esm","LootCitizenNecklaceList25","False","actor-only"
"0899C3:Skyrim.esm","SublistEnchGlassBattleaxeMagicka","True","both"
"0A273C:Skyrim.esm","LItemSpellTomes100Illusion","False","unreached"
"0FDA0A:Skyrim.esm","SublistEnchArmorDragonscaleGauntlets06","False","both"
"0165BA:Skyrim.esm","LItemWeaponAny1H","False","actor-only"
"0FD9DF:Skyrim.esm","SublistEnchArmorScaledCuirass03","False","both"
"060037:Skyrim.esm","LootForswornChestPotions15","False","container-only"
"02BC1D:Dragonborn.esm","DLC2LItemArmorGauntletsHeavy","True","container-only"
"0FF213:Skyrim.esm","TGRewardRandomAllLists","False","unreached"
"02BC05:Dragonborn.esm","DLC2LItemEnchWeaponGreatsword","True","container-only"
"02B0CF:Dragonborn.esm","DLC2SublistEnchNordicGreatswordSoulTrap","True","container-only"
"089A43:Skyrim.esm","SublistEnchGlassWarhammerBanish","True","both"
"101C90:Skyrim.esm","LItemFoodBlackBriarMead100","False","container-only"
"09E2B3:Skyrim.esm","LItemSpellTomes00Illusion","False","both"
"03CA96:Dragonborn.esm","DLC2MQ06MiraakRewardMaskL","True","unreached"
"000F1B:Skyrim.esm","SublistEnchWeaponBattleaxeDaedric05","False","container-only"
"08B64D:Skyrim.esm","SublistEnchArmorDwarvenGauntlets02","False","both"
"02BA9F:Dragonborn.esm","DLC2SublistEnchArmorStalhrimLightGauntlets03","False","container-only"
"10733D:Skyrim.esm","SublistEnchOrcishWarAxeAbsorbHealth","True","both"
"01D2A2:Skyrim.esm","SublistEnchElvenGreatswordStamina","True","both"
"10FE86:Skyrim.esm","LootWarlockCorpseGold","False","actor-only"
"0899E5:Skyrim.esm","SublistEnchGlassGreatswordSoulTrap","True","both"
"02B0E5:Dragonborn.esm","DLC2SublistEnchStalhrimBattleaxeStamina","True","container-only"
"0FD9F1:Skyrim.esm","SublistEnchArmorGlassHelmet03","False","both"
"10E0D8:Skyrim.esm","LootDwarvenScrapSpider","False","unreached"
"02BA47:Dragonborn.esm","DLC2SublistEnchArmorBonemoldBoots03","False","unreached"
"02B9C5:Dragonborn.esm","DLC2SublistEnchStalhrimSwordAbsorbStamina","True","container-only"
"039D2D:Skyrim.esm","LItemBanditShield","True","actor-only"
"02BAA7:Dragonborn.esm","DLC2SublistEnchArmorStalhrimHeavyHelmet04","False","container-only"
"087780:Skyrim.esm","LootBanditGems10","False","both"
"074A30:Skyrim.esm","LItemPotionWaterbreathing","True","both"
"02B0D2:Dragonborn.esm","DLC2LItemEnchNordicBattleaxe","False","container-only"
"071537:Skyrim.esm","LootCWImperialsChestPotions25","False","container-only"
"0A6A39:Skyrim.esm","LItemEnchSteelWeaponStamina","False","unreached"
"1031BD:Skyrim.esm","LItemEnchArmorLightGauntletsSpecial","True","container-only"
"02C493:Dragonborn.esm","DLC2SublistEnchStahlrimBattleaxeChaos","True","container-only"
"017103:Skyrim.esm","VendorBlacksmithEnchWeapons75","False","container-only"
"037C1F:Skyrim.esm","LItemBanditWarhammer","True","actor-only"
"0177BF:Dragonborn.esm","DLC2IngredientMushroom75","False","container-only"
"02BA59:Dragonborn.esm","DLC2SublistEnchArmorBonemoldHelmet03","False","unreached"
"03D5D2:Dragonborn.esm","DLC2LItemIngredientFoodPrepared","False","unreached"
"0AF64F:Skyrim.esm","PerkInvestorDawnstarBlacksmithList","False","container-only"
"07D984:Skyrim.esm","SublistThalmorBowAndArrowsGlass","False","actor-only"
"02B9EA:Dragonborn.esm","DLC2LItemEnchStalhrimBattleaxe","False","container-only"
"02BC3C:Dragonborn.esm","DLC2LootBanditChestBossBase","False","container-only"
"01674B:Skyrim.esm","LItemArmorGauntletsHeavyTown","True","container-only"
"105594:Skyrim.esm","OutfitListHoldGuardHelmetsFalkreath","False","actor-only"
"074A24:Skyrim.esm","LItemPoisonDamageStaminaAll","False","unreached"
"06003A:Skyrim.esm","LootForswornJewelry25","False","container-only"
"02B9E3:Dragonborn.esm","DLC2SublistEnchStalhrimWarhammerParalyze","True","container-only"
"088514:Skyrim.esm","LootDraugrArmor50","False","container-only"
"0374FD:Dragonborn.esm","DLC2BlacksmithNordicWeapon75","False","container-only"
"070C0E:Skyrim.esm","LootDwavenChestPotions100","False","unreached"
"09AF07:Skyrim.esm","LItemMiscVendorArmor75","False","container-only"
"07143D:Skyrim.esm","LootHagravenSoulGems15","False","container-only"
"0899EC:Skyrim.esm","SublistEnchGlassMaceMagicka","True","both"
"0CB3DA:Skyrim.esm","LItemEnchDaedricDagger","False","both"
"0B421A:Skyrim.esm","SublistEnchArmorHideHelmet02","False","both"
"000EFE:Skyrim.esm","SublistArmorShieldDragonplate05","False","both"
"10E0E0:Skyrim.esm","LItemGemsSmall10","True","actor-only"
"020682:Dragonborn.esm","DLC2SpellBookAshShell","False","container-only"
"0571A5:Skyrim.esm","LItemArmorHelmetHeavyBest","True","unreached"
"0DDD88:Skyrim.esm","LItemEnchIronWarhammerBoss","False","actor-only"
"0FD9E9:Skyrim.esm","SublistEnchArmorScaledGauntlets03","False","both"
"02C44B:Dragonborn.esm","DLC2LootDraugrChestBossMagicItem25","False","container-only"
"10F75D:Skyrim.esm","LItemEnchDaedricAnyWeapon","False","unreached"
"08A143:Skyrim.esm","SublistEnchEbonySwordStamina","True","both"
"00F1AC:Dawnguard.esm","DLC1LItemAmmoDwarvenBoltExplodingFireGated","False","container-only"
"0F961D:Skyrim.esm","LItemGemsSmall","True","both"
"01913E:Dawnguard.esm","DLC1DeathItemGargoyle","True","unreached"
"06A3D1:Skyrim.esm","LootForswornEnchArmor100","False","container-only"
"1031A3:Skyrim.esm","LItemEnchWeaponGreatswordSpecial","True","container-only"
"089D57:Skyrim.esm","SublistEnchEbonyBowFear","True","both"
"02E1E8:Skyrim.esm","LItemVampireBossGauntlets","True","unreached"
"105F15:Skyrim.esm","SublistThalmorElvenLightArmor","False","actor-only"
"100E7E:Skyrim.esm","LItemEnchRingSmithing","True","both"
"071555:Skyrim.esm","LootCWSonsEnchWeapons100","False","container-only"
"0FD9A3:Skyrim.esm","SublistEnchArmorEbonyHelmet04","False","both"
"10962B:Skyrim.esm","LItemVampireWeaponBase","False","actor-only"
"02B0F3:Dragonborn.esm","DLC2DeathItemLurker","False","unreached"
"0B50F7:Skyrim.esm","SublistEnchArmorSteelBoots01","False","both"
"0FD9D3:Skyrim.esm","SublistEnchArmorDragonplateGauntlets05","False","both"
"084B64:Skyrim.esm","SublistEnchArmorElvenHelmet04","False","both"
"10FACF:Skyrim.esm","LootWarlockIngredients10","False","actor-only"
"03A167:Skyrim.esm","LItemPotionAllSkills","False","both"
"0DD648:Skyrim.esm","LItemSpellTomes100Restoration","False","unreached"
"0B50FD:Skyrim.esm","SublistEnchArmorSteelCuirass03","False","both"
"02AAEE:Dragonborn.esm","DLC2SublistEnchNordicMaceFear","True","container-only"
"0A2990:Skyrim.esm","LItemSpellTOmes50AllRestoration","False","container-only"
"0899E0:Skyrim.esm","SublistEnchGlassGreatswordFire","True","both"
"0AF252:Skyrim.esm","TGRewardEnchWeapon1Hb","False","container-only"
"016E20:Skyrim.esm","LItemRobesCollegeIllusion","True","container-only"
"02AADA:Dragonborn.esm","DLC2SublistEnchNordicWarAxeAbsorbStamina","True","both"
"0C9A2D:Skyrim.esm","LItemEnchOrcishWeaponShock","False","unreached"
"02B9BF:Dragonborn.esm","DLC2SublistEnchStalhrimMaceShock","True","container-only"
"024306:Skyrim.esm","LItemDraugr05WeaponArrowSublist","False","actor-only"
"0DDD7A:Skyrim.esm","LItemEnchOrcishBattleaxeBoss","False","actor-only"
"02B9B5:Dragonborn.esm","DLC2SublistEnchStalhrimGreatswordTurn","True","container-only"
"02C49A:Dragonborn.esm","DLC2SublistEnchStahlrimWarhammerChaos","True","container-only"
"01D275:Skyrim.esm","SublistEnchDwarvenWarAxeFire","True","both"
"08CA36:Skyrim.esm","SublistEnchElvenSwordParalyze","True","both"
"04C3AA:Skyrim.esm","SublistThalmorElvenLightArmorNoHelmet","False","actor-only"
"10FACD:Skyrim.esm","LootWarlockRandom","False","actor-only"
"037C1A:Skyrim.esm","LItemBanditWarAxe","True","actor-only"
"02BA49:Dragonborn.esm","DLC2SublistEnchArmorBonemoldCuirass01","False","unreached"
"02B0CC:Dragonborn.esm","DLC2SublistEnchNordicGreatswordMagicka","True","container-only"
"0F652E:Skyrim.esm","LItemWeaponNightingaleSword","True","unreached"
"01CE5C:Skyrim.esm","SublistEnchDwarvenBowFire","True","both"
"101071:Skyrim.esm","LItemEnchNecklaceAll","True","both"
"017005:Skyrim.esm","LItemEnchEbonyWeaponDremoraFire","False","actor-only"
"10107C:Skyrim.esm","OutfitListGuardFalkreath","False","actor-only"
"01421B:Dawnguard.esm","DLC1LItemDawnguardGauntlets","False","actor-only"
"10FAC2:Skyrim.esm","LootStaffsWeaponForsworn","True","actor-only"
"107338:Skyrim.esm","SublistEnchOrcishMaceAbsorbMagicka","True","both"
"070C24:Skyrim.esm","LootDwarvenJewelryBoxBase","False","unreached"
"04B15E:Skyrim.esm","SublistEnchIronMaceFrost","True","both"
"10D9C4:Skyrim.esm","LItemFoodMeatGoat","False","container-only"
"08A100:Skyrim.esm","SublistEnchEbonyGreatswordStamina","True","both"
"02B0AF:Dragonborn.esm","DLC2SublistEnchNordicBowFear","True","container-only"
"014219:Dawnguard.esm","DLC1LItemDawnguardBoots","False","actor-only"
"043BD1:Skyrim.esm","LItemForswornWarAxe","True","unreached"
"03506E:Skyrim.esm","LootWarlockJewelry15","False","container-only"
"09BC3F:Skyrim.esm","LItemWeaponBowBlacksmith","True","both"
"107300:Skyrim.esm","SublistEnchEbonyWarAxeAbsorbStamina","True","both"
"10BF6C:Skyrim.esm","LItemFoodTomato75","False","container-only"
"02B9EC:Dragonborn.esm","DLC2LItemEnchStalhrimDagger","False","container-only"
"10CD63:Skyrim.esm","LItemFoodFishBetty25","False","container-only"
"010963:Dawnguard.esm","DLC1DeathItemDragon06","False","unreached"
"08A9A7:Skyrim.esm","SublistEnchDaedricBowBanish","True","both"
"071656:Skyrim.esm","LItemMaceForOrcs","True","unreached"
"089910:Skyrim.esm","SublistEnchIronBattleaxeStamina","True","both"
"03DF18:Skyrim.esm","LItemBanditBossGauntlets50","True","actor-only"
"0899F7:Skyrim.esm","SublistEnchGlassSwordParalyze","True","both"
"00F1BF:Dawnguard.esm","DLC1LItemAmmoDwarvenBoltExplodingIceGated","False","container-only"
"01FF19:Dragonborn.esm","DLC2LItemEnchWeaponWarhammerBest","True","both"
"065A47:Skyrim.esm","LItemPotionRestoreStaminaBest","True","both"
"0A2731:Skyrim.esm","LitemSpellTomes50Destruction","False","container-only"
"1072EB:Skyrim.esm","SublistEnchDwarvenWarAxeAbsorbStamina","True","both"
"089D58:Skyrim.esm","SublistEnchEbonyBowFire","True","both"
"02B9C9:Dragonborn.esm","DLC2SublistEnchStalhrimSwordFrost","True","container-only"
"0CB3BD:Skyrim.esm","LItemEnchGlassWeaponFear","False","unreached"
"071524:Skyrim.esm","LootCWSonsEnchArmor15","False","container-only"
"03AD78:Skyrim.esm","DeathItemBearCave","False","unreached"
"0C3C9E:Skyrim.esm","DeathItemBanditWizard","False","unreached"
"04B57F:Skyrim.esm","LItemEnchIronMace","False","both"
"070EB7:Skyrim.esm","LootVampireArrows25","False","container-only"
"01C230:Skyrim.esm","SublistEnchOrcishMaceFire","True","both"
"074A32:Skyrim.esm","LItemPotionMagicEffects","False","both"
"01ECAF:Skyrim.esm","LootFalmerSoulGems100","False","container-only"
"046054:Skyrim.esm","LItemSoldierSonsGuardWeapon1H","False","both"
"0424EB:Skyrim.esm","LootPerkGoldenTouchChange","False","container-only"
"000F2C:Skyrim.esm","SublistEnchArmorBoots06Dragonplate05","False","both"
"0B508A:Skyrim.esm","SublistEnchArmorIronGauntlets02","False","both"
"02930E:Dragonborn.esm","DLC2ExpSpiderLItemGemSapphireFlawless","False","unreached"
"0FD9F9:Skyrim.esm","SublistEnchArmorGlassGauntlets05","False","both"
"10FAD3:Skyrim.esm","LootWarlockSoulGemsNecroBonus","True","both"
"0CB3C7:Skyrim.esm","LItemEnchEbonyBow","False","both"
"013E24:Dawnguard.esm","DLC1DeathItemSabrecatVale","False","unreached"
"02BC2D:Dragonborn.esm","DLC2LItemEnchArmorLightShieldSpecial","True","container-only"
"00D0E6:Dawnguard.esm","DLC1SublistEnchCrossbowSoulTrap","True","actor-only"
"10732A:Skyrim.esm","SublistEnchGlassWarAxeAbsorbStamina","True","unreached"
"02BA64:Dragonborn.esm","DLC2SublistEnchArmorChitinLightBoots02","False","container-only"
"0CB3E6:Skyrim.esm","LItemEnchDaedricWeaponShock","False","unreached"
"0FD9DE:Skyrim.esm","SublistEnchArmorScaledCuirass02","False","both"
"02BC3D:Dragonborn.esm","DLC2LootBanditWeapon100","False","container-only"
"026B47:Dragonborn.esm","DLC2BanditArmorAll","False","actor-only"
"0FD9BD:Skyrim.esm","SublistEnchARmorDaedricGauntlets04","False","both"
"02BA43:Dragonborn.esm","DLC2SublistEnchArmorBonemoldBoots01","False","unreached"
"01D25F:Skyrim.esm","SublistEnchDwarvenGreatswordMagicka","True","both"
"0FD9F4:Skyrim.esm","SublistEnchArmorGlassBoots03","False","both"
"024300:Skyrim.esm","LItemDraugr02Weapon2H","True","actor-only"
"01FF15:Dragonborn.esm","DLC2LItemEnchWeaponBowBest","True","both"
"01CB18:Skyrim.esm","SublistEnchOrcishWarhammerFire","True","both"
"086019:Skyrim.esm","LootWarlockPotions25","False","unreached"
"106D0D:Skyrim.esm","LItemEnchVampireRobes","False","actor-only"
"089A53:Skyrim.esm","SublistEnchGlassWarhammerMagicka","True","both"
"0A2738:Skyrim.esm","LItemSpellTomes75Illusion","False","unreached"
"089912:Skyrim.esm","SublistEnchIronDaggerFear","True","both"
"08A371:Skyrim.esm","SublistEnchEbonyWarhammerFire","True","both"
"08A38B:Skyrim.esm","LItemSoldierImperialBoots","True","unreached"
"01713A:Skyrim.esm","LItemSoldierImperialArmorSet03","False","unreached"
"0FD995:Skyrim.esm","SublistEnchArmorOrcishBoots05","False","both"
"0899DD:Skyrim.esm","SublistEnchGlassDaggerTurn","True","both"
"10DF68:Skyrim.esm","LItemEnchNecklacePickpocket","True","both"
"01710B:Skyrim.esm","LItemIngotGold50","False","unreached"
"0F5D23:Skyrim.esm","dunLItemGeirmundSigdisBow","True","actor-only"
"016747:Skyrim.esm","LItemArmorCuirassHeavyTown","True","container-only"
"10C1F9:Skyrim.esm","LItemIngredientFrostMirriam","False","container-only"
"0A6A34:Skyrim.esm","LItemEnchSteelWeaponFear","False","unreached"
"0E0FDD:Skyrim.esm","LItemStaffDestruction50NPC50","False","actor-only"
"017134:Skyrim.esm","LItemSoldierImperialArmorSet01","False","unreached"
"09BC3B:Skyrim.esm","LItemArmorHelmetLightBlacksmith","True","both"
"03A1B9:Skyrim.esm","LItemPotionResistFire","True","both"
"0FD9E4:Skyrim.esm","SublistEnchArmorScaledHelmet04","False","both"
"0FDA0E:Skyrim.esm","LItemEnchArmorHeavyBootsNoDragon","True","both"
"084B65:Skyrim.esm","SublistEnchArmorElvenShield02","False","both"
"09AF13:Skyrim.esm","LItemMiscVendorPotion50","False","container-only"
"0DDD8C:Skyrim.esm","LItemEnchDwarvenSwordBoss","False","actor-only"
"02E1E7:Skyrim.esm","LItemVampireBossWeapon1H","False","unreached"
"07113B:Skyrim.esm","LootHagravenJewelry100","False","container-only"
"074A2E:Skyrim.esm","LItemPoisonDamageHealthAll","False","unreached"
"039E5A:Skyrim.esm","LItemPotionFortifyAlteration","True","both"
"02AAC5:Dragonborn.esm","DLC2SublistEnchNordicWarAxeParalyze","True","both"
"070C13:Skyrim.esm","LootDwarvenEnchWeapons20","False","container-only"
"072AEC:Skyrim.esm","VendorGoldSpells","False","container-only"
"0A6A1E:Skyrim.esm","SublistEnchSteelDaggerStamina","True","both"
"024307:Skyrim.esm","LItemDraugr05WeaponBowSublist","True","actor-only"
"0B5099:Skyrim.esm","SublistEnchArmorBandedIronShield03","False","both"
"0FD9BF:Skyrim.esm","SublistEnchARmorDaedricGauntlets06","False","both"
"0AE740:Skyrim.esm","SublistEnchOrcishBowShock","True","both"
"074A27:Skyrim.esm","LItemPoisonDamageMagickaLingeringBest","True","unreached"
"000ED9:Skyrim.esm","LItemEnchWeaponDaggerBlacksmith","True","both"
"003149:Update.esm","CCLItemSpellTomes100Phinis","False","container-only"
"0A272D:Skyrim.esm","LItemSpellTomes25Illusion","False","both"
"1046DB:Skyrim.esm","LItemEnchNecklaceAll25","True","actor-only"
"107333:Skyrim.esm","SublistEnchOrcishDaggerAbsorbStamina","True","both"
"03750A:Dragonborn.esm","DLC2LItemEnchArmorLightGauntletsNoDragon","True","container-only"
"0242FC:Skyrim.esm","LItemDraugr02Weapon1H","True","actor-only"
"106662:Skyrim.esm","LItemClothesAll","False","container-only"
"000EFB:Skyrim.esm","SublistArmorHelmetDaedricBest05","False","unreached"
"02BA5A:Dragonborn.esm","DLC2SublistEnchArmorBonemoldShield01","False","container-only"
"065A86:Skyrim.esm","LItemPoisonWeaknessFrost","True","both"
"028579:Dragonborn.esm","DLC2LItemSpellTomes75Illusion","False","unreached"
"084B5B:Skyrim.esm","SublistEnchArmorElvenCuirass04","False","both"
"01FF08:Dragonborn.esm","DLC2LItemArmorHelmetHeavyBest","True","container-only"
"071640:Skyrim.esm","LootCWSonsEnchArmor100","False","both"
"0899D5:Skyrim.esm","SublistEnchGlassDaggerFear","True","both"
"1046E0:Skyrim.esm","LootCitizenRingList25","False","actor-only"
"065A5F:Skyrim.esm","LItemPotionResistancesBest","False","both"
"01D278:Skyrim.esm","SublistEnchDwarvenWarAxeShock","True","both"
"05719D:Skyrim.esm","LItemArmorBootsLightBest","True","actor-only"
"0FD9B7:Skyrim.esm","SublistEnchArmorDaedricHelmet04","False","both"
"08C5E1:Skyrim.esm","SublistEnchDaedricWarhammerFire","True","both"
"0C0407:Skyrim.esm","LvlQuestReward04Wow","True","unreached"
"10F150:Skyrim.esm","LItemCoffin75","False","container-only"
"10E0DF:Skyrim.esm","LootRingList10","False","container-only"
"03DF23:Skyrim.esm","LItemBanditBossGreatsword","True","actor-only"
"028574:Dragonborn.esm","DLC2LItemSpellTomes50Illusion","False","unreached"
"105599:Skyrim.esm","OutfitListHoldGuardHelmetsPale","False","actor-only"
"10FAC5:Skyrim.esm","LootDraugrIngots05","False","actor-only"
"107311:Skyrim.esm","SublistEnchElvenSwordAbsorbMagicka","True","both"
"089937:Skyrim.esm","LItemEnchIronWeaponShock","False","unreached"
"02B9A7:Dragonborn.esm","DLC2SublistEnchStalhrimDaggerAbsorbMagicka","True","container-only"
"070C22:Skyrim.esm","LootDwarvenScrap25","False","container-only"
"065A95:Skyrim.esm","LItemPoisonDrainArmorSkillsBest","False","both"
"000EDA:Skyrim.esm","LItemEnchWeaponBlacksmith2H","False","container-only"
"02B9D3:Dragonborn.esm","DLC2SublistEnchStalhrimWarAxeFear","True","both"
"092A0C:Skyrim.esm","SublistEnchArmorSteelPlateCuirass02","False","both"
"08992C:Skyrim.esm","SublistEnchIronWarhammerTurn","True","both"
"0714A3:Skyrim.esm","LootCWImperialsArrows25","False","container-only"
"1031B5:Skyrim.esm","LItemWeaponAllSpecial","False","container-only"
"000F50:Skyrim.esm","SublistEnchArmorHelmet06Dragonscale05","False","both"
"01EBC6:Skyrim.esm","LootFalmerArrows15","False","container-only"
"01C08B:Skyrim.esm","SublistEnchOrcishBattleAxeMagicka","True","both"
"0FD9BE:Skyrim.esm","SublistEnchARmorDaedricGauntlets05","False","both"
"07A831:Skyrim.esm","SublistEnchArmorHideCuirass01","False","both"
